Label,Title,Summary,Date,Author
1,mick mulvaney tries letting trump be trump,"for the first time since taking office, mr. trump has a chief of staff who has made it his job to encourage rather than restrain the president’s conservative instincts.",2019-04-10,peter baker
1,cruella de trump,donald trump brings grand guignol to the potomac.,2017-07-01,maureen dowd
1,trump’s folly,the president and his e.p.a. secretary miss a good opportunity for the nation by ignoring the threat of climate change.,2017-09-13,thomas friedman
1,pariahs for donald trump,"isis jihadists, north korea and the k.k.k. agree on a candidate.",2016-09-01,nicholas kristof
1,trump’s potent toxicity,"trump has flirted with the deepest racists and nazis and it has not gone unnoticed, least of all by them.",2018-10-28,charles
1,trump’s rage junkies,trump is like a drug dealer who has addicted his followers to fear and rage and keeps supplying it in constant doses.,2018-07-02,charles
1,is anyone good enough for an h-1b visa?,"many of my stanford classmates and i had plans to use our education to contribute to this country. instead, we’re being kicked out.",2017-11-23,frida yu
1,"trump, finally explained",it’s not real unless you see it on tv.,2016-12-03,gail collins
1,the trump fallacy,"despite what some of the president’s supporters think, you cannot celebrate his policies and ignore his poor behavior.",2019-06-30,greg weiner
1,obama vs. trump? trump vs. trump? ,framing the midterms as election day draws closer. ,2018-09-04,frank bruni
1,donald trump’s revolt,"mr. trump upended the g.o.p. and now the democratic party, and america’s fierce and heedless desire for change now puts the nation on a precipice.",2016-11-09,no author found
1,impeach donald trump?,obstruction of justice is a crime. the decision is clear.,2019-04-21,charles
1,trump the vulnerable,a close look at the 2018 midterm results shows why he is so weak.,2019-01-07,david leonhardt
1,‘i was trump before trump was trump’ ,"republican candidates all over are parroting the president, spouting his catchphrases and donning his hats as they try to show loyalty.",2018-04-22,jeremy peters
1,how donald trump tried to protect his name from others who shared it,"donald j. trump once sued two real estate developers, jules and eddie trump, claiming their use of the surname was “designed to reap the benefits” of his.",2016-01-31,james barron
1,watch trump’s full remarks from trump tower,"during a combative news conference, president trump touched on the violence in charlottesville, va., his view on removing confederate statues, stephen k. bannon’s role in the white house and more.",2017-08-15,no author found
1,companies say trump is hurting business by limiting legal immigration,"the government is making it harder to hire foreigners by denying visas, asking for more information and delaying approvals, corporate leaders say.",2018-09-03,nelson
1,how fred trump’s empire made donald trump millions,"in donald trump’s version of how he got rich, he was the master dealmaker who parlayed a $1 million loan from his father into a $10 billion empire. but a new york times investigation shows that in every era of mr. trump’s life, his finances were deeply intertwined with, and dependent on, his father’s wealth.",2018-10-03,gabriel x
1,ted loves trump,"well, not exactly. but cruz’s appearance at the g.o.p. convention shows how self-interest routinely muscles principle aside.",2016-07-20,frank bruni
1,trump’s iran derangement,decertifying the iran nuclear deal will signal that the united states is now a power whose word is worthless.,2017-10-11,roger cohen
1,retweeting donald trump,"imagine the benefits to the country if the president-elect’s messages were nice, not nasty.",2017-01-18,thomas friedman
1,trump’s fellow travelers,profiles in cowardice and fecklessness.,2016-10-03,paul krugman
1,it’s trump’s party,don’t let anyone pretend otherwise.,2016-10-24,paul krugman
1,trump’s economic muddle,it’s odd that a successful businessman would have perspectives so outside the boundaries of accepted economic thought.,2015-08-14,steven rattner
1,trump’s leaky fate,maybe the most potent check on the president is the aghast people around him.,2017-05-16,frank bruni
1,trump’s tv trial,a reality show president can’t control the narrative of all these hearings.,2019-03-05,michelle goldberg
1,trump tweets tough,let’s just pray that trump’s current bellicosity is all hot air and no balloon.,2017-08-12,gail collins
1,unbecoming a trump: the vanessa trump divorce,"after a dozen years, vanessa haydon trump says she is leaving the first family.",2018-03-22,katherine rosman
1,clueless versus trump,"americans want statesmanship, not schadenfreude.",2018-01-20,bret stephens
1,trump aide’s statement on melania trump’s speech,"a longtime employee of the trump organization, meredith mciver, took responsibility for lifting two passages from a speech by michelle obama in 2008 for melania trump’s monday address at the republican national convention, saying that it was an innocent mistake.",2016-07-20,no author found
1,"in trump country, shock at trump budget cuts, but still loyalty",people who have depended on programs that would be hurt by the president’s cost-cutting say they stand by him.,2017-04-01,nicholas kristof
1,our addiction to trump,we’re ignoring more important issues as we obsess on the nonstop scandals and outrages.,2018-05-05,nicholas kristof
1,donald trump’s lizard wisdom,a shady business history pays foreign policy dividends.,2018-05-10,david brooks
1,the ivanka trump guarantee,stop wondering which of these people will save us. there is not going to be a surprise silver lining to this presidency.,2017-09-06,lindy west
1,donald trump goes rogue,"palin speaks of ""squirmishes"" in the middle east. it's january and 2016 is already cause to squirm.",2016-01-25,roger cohen
1,trump’s gold lining,how donald trump is making america great again.,2017-02-11,maureen dowd
1,don blankenship: too trump-like even for trump?,"republicans in washington, including president trump, encouraged west virginians not to vote for don blankenship, a senate candidate with a complicated past.",2018-05-07,sarah kerr
1,selling trump memorabilia at ‘the source’: trump tower,"roger sewani owns a newsstand in trump tower. since the election, his business has morphed into selling trump items.",2017-08-23,corey kilgannon
1,trump and taxes,"his personal returns, his shifting policy proposals and how he picked his experts are all mysterious.",2016-05-13,paul krugman
1,game of trump,"you know nothing, donald trump. the mad king brings westeros to washington.",2017-07-15,maureen dowd
1,trump implicated,a setback for the president. ,2018-08-22,patrick chappatte
1,trump slump coming?,don’t count on an immediate disaster after the next president takes office.,2016-11-14,paul krugman
1,checking in at trump hotels,the man who would be president is also the name behind a string of high-end hotels. inside his particular brand of luxury.,2016-07-05,stephanie rosenbloom
1,bannon versus trump,the larger battle is over whether the republican party as a whole will become an ethno-populist party.,2017-01-10,david brooks
1,from trump boom to trump gloom,the smart money thinks trumponomics is a flop.,2019-08-15,paul krugman
1,melania trump’s assertive move,readers discuss the first lady’s effort to dismiss a white house official.,2018-11-14,no author found
1, donald trump’s impeachment threat,"republicans are indicating that if they can’t gain control of government fairly, they’ll simply undermine it.",2016-11-04,no author found
1,donald trump’s disastrous example,the mess over a congressional ethics office reflects the muck of his own behavior.,2017-01-03,frank bruni
1,how donald trump used hollywood to create ‘donald trump’,"donald j. trump has been a near-constant presence in tv shows, movies, documentaries, pageants and even professional wrestling events, since the 1980s.",2016-10-26,katie rogers
1,virginia’s election and trump’s whupping,"it wasn’t just in one state. across the country, the normal rules do apply to him.",2017-11-08,david leonhardt
1,trump and abortion,he’s poorly informed even on his own position.,2016-03-31,nicholas kristof
1,trump reeks of fear,"impeachment is always on trump’s mind, so he relentlessly pursues his strategy of creating a climate of incredulity.",2018-07-08,charles
1,final nights at the trump soho before trump checks out,"at the hotel, which has struggled financially and will soon excise the trump name, some guests loved the brand, while others were there for the discounted rooms.",2017-11-23,sarah nir
1,who undercut president trump’s travel ban? candidate trump,"mr. trump’s angry, often xenophobic rallying cries during the campaign have become legal and political liabilities now that he is in the oval office.",2017-03-16,michael
1,trump and the intellectuals,a case for trump’s ideas that ignores the man himself.,2016-10-01,ross douthat
1,donald trump in bollywood,it’s not surprising that he would go after indian voters.,2016-10-28,vikas bajaj
1,"late-night tv in 2018: trump, trump, facebook and more trump","hosts remained obsessed with president trump’s twitter feed and behavior, with the occasional nonpolitical joke feeling like water in the desert.",2018-12-26,giovanni russonello
1,donald trump’s latest birther lie,"in his spiral through unreality, the republican candidate trades one myth for another.",2016-09-17,no author found
1,donald trump’s relentless tribe,the curse of modern partisanship is a blessing for the current president.,2018-07-24,frank bruni
1,questions for trump,we need more information.,2019-03-01,david leonhardt
1,the trump organization’s defense of donald trump jr.,"a letter from alan garten, the trump organization’s general counsel, threatened a disciplinary complaint about a lawyer seeking to question donald trump jr. in a lawsuit.",2016-12-04,no author found
1,the trump possibility,it’s the last chance to prevent a lazy and limited man who lies and cheats and thinks he has “great genes” from demeaning the oval office.,2016-10-03,roger cohen
1,trump news conference,president-elect donald j. trump holds a news conference in manhattan.,2017-01-11,no author found
1,male voters finally get trump,how the donald trump tape has had a bigger impact on men.,2016-10-11,anna north
1,donald trump’s medical malice,there’s a word for his insinuations that something is wrong with joe biden. it’s “sick.”,2019-06-11,frank bruni
1,donald trump’s tangled web,"unless mr. trump divests his businesses, there will be no way to know if his actions in office are for the public good or for his own financial gain.",2016-11-16,no author found
1,covering trump,"carolyn ryan, politics editor, and maggie haberman and michael barbaro, politics reporters, provide a behind-the-scenes picture of the trump campaign.",2015-12-02,no author found
1,donald trump’s deportation nation,a trip to mexico and a speech in phoenix don’t add substance to donald trump’s bluster about thwarting evil foreigners.,2016-09-01,no author found
1,trump channels old hickory,a visit to andrew jackson’s home was part of trump’s effort to present himself as jackson’s outsider soul brother.,2017-03-16,gail collins
1,trump is getting even trumpier!,is the republicans’ nominee losing it?,2016-07-19,david brooks
1,ivanka trump’s and jared kushner’s judaism,readers say the issue isn’t their place in the american jewish community.,2018-11-27,no author found
1,donald trump’s weird world,the candidate’s willingness to act as a kremlin apologist is baffling.,2016-10-12,no author found
1,"marine le pen’s visit to new york: trump tower, not trump","a spokesman for mr. trump said the president-elect had not met with the french far-right leader, but her stop at trump tower clearly wasn’t by chance.",2017-01-14,alissa rubin
1,donald trump warms up,"poor al gore, thinking the president-elect had paid attention to what he said about climate change.",2016-12-08,gail collins
1,donald trump’s nasty budget,what happened to all that talk about sticking up for working people?,2018-02-13,no author found
1,donald trump’s secret? channeling andrew jackson,"the republican front-runner is winning because, like old hickory, he is a wealthy superpatriot who promises to defend the common man.",2016-02-17,steve inskeep
1,trump’s pile of rubble,we can’t keep making sacrifices to the trigger gods.,2019-08-10,maureen dowd
1,euro-trump,"donald trump shares a lot of common ground with the leaders of anti-immigrant parties in europe. their aggrieved supporters have a lot in common, too.",2015-11-18,thomas
1,where trump succeeded,the republican party as we knew it is on life support.,2018-06-04,charles
1,trump with a tail,mike pence pulls leash; the president barks.,2017-02-04,gail collins
1,donald trump discovers muslims,attacking iran in saudi arabia is a futile and provocative mistake.,2017-05-23,roger cohen
1,trump in the dumps,"if 70 percent of americans don’t like you, is it too late to pivot?",2016-06-18,maureen dowd
1,"nixon, clinton and trump","the more trump is cornered, the more he mirrors richard nixon.",2018-08-19,charles
1,donald trump’s irredeemable twin,anthony weiner is the republican nominee’s partner in compulsion.,2016-08-30,frank bruni
1,trump expresses regret,"without being specific, the republican nominee departs from his normally pugilistic attitude to offer his regrets for statements that have “caused personal pain.”",2016-08-19,no author found
1,donald trump jr. is his own kind of trump,the president’s once-wayward eldest son embraces his new role in business and politics on his terms.,2017-03-18,laura
1,trump needs a brain,"or a brain trust, to figure out what trumpism should be.",2017-04-01,ross douthat
1,donald trump the candidate promotes trump the brand on campaign trail,"as his poll numbers have fallen, mr. trump has taken reporters to his top properties in between campaign events — perhaps looking beyond election day.",2016-10-26,maggie haberman
1,donald trump goes low,"sniffing and glowering, donald trump prowled behind hillary clinton. once again, she was the only adult on the stage.",2016-10-10,no author found
1,is president trump obstructing justice?,his entire pattern of behavior is obstruction of the rule of law and democratic norms.,2017-05-13,nicholas kristof
1,"oh, no! donald trump’s calling","for an inside track on the new administration, ask a golfer.",2016-11-19,gail collins
1,the trump rally,faces of the movement.,2016-04-11,no author found
1,trump the destroyer,how things have changed.,2018-07-12,patrick chappatte
1,trump is no accident,republican leaders have long laid the groundwork for the current g.o.p. front-runner’s strategy.,2016-03-14,paul krugman
1,trump’s black college spectacle,"he was honored on the issue of criminal justice, where his record is shameful.",2019-10-28,charles
1,trump speaks!,and — surprise — casts himself as the aggrieved.,2017-06-09,frank bruni
1,‘the daily’: trump and dictators; trump and his daughter,maggie haberman discusses president trump’s tendency to go off script with foreign leaders. plus: the times interviews ivanka trump.,2017-05-02,michael barbaro
1,donald trump’s inauguration day walk,"these days, washington’s monuments are aglow and festive. but soon, most everything inscribed in stone will be tested.",2016-12-09,timothy egan
1,trump’s paradigm of the personal,he confuses the way he thinks he is treated with the well-being of the country.,2019-08-25,charles
1,trump’s gifts to china,the trump foreign policy: shout loud and carry a little stick.,2017-04-04,roger cohen
1,donald trump votes,"donald j. trump voted at a polling place in manhattan, just blocks from his home and office at trump tower.",2016-11-08,no author found
1,how trump is helping russia help trump again,the efforts by presidential associates like rudy giuliani in ukraine are helping set up a 2020 disinformation campaign.,2019-10-28,zach dorfman
1,meet the 5 trump administrations,add them up and see if they work together.,2017-02-22,thomas friedman
1,trump targets tehran,"iran is in, north korea is out as the subject of the president’s threats.",2018-09-30,heng
1,trump’s hollow ‘regrets’,"the republican candidate is not really sorry, but his party may soon be very sorry indeed.",2016-08-22,charles
1,clinton criticizes trump,hillary clinton denounced president trump’s conduct in office during an interview with the cnn correspondent christiane amanpour in midtown manhattan.,2017-05-02,no author found
1,you must serve trump,"for public servants who fear how trump might govern, there is a moral responsibility to serve.",2016-11-12,ross douthat
1,trump on obamacare,president trump said promises that americans could keep their doctor and health plan under the affordable care act were broken.,2017-03-01,no author found
1,trump: the un-american president,he has damaged the american brand.,2018-03-19,charles
1,trump savagely mauls the language,"listening to the president speak is a dizzying experience for anyone interested in candor, clarity or concision.",2017-07-17,charles
1,trump’s bridges to nowhere,just don’t mention the “i-word” around the white house.,2019-05-22,gail collins
1,trump’s obama obsession,trump wants to erase obama not only from the political landscape but also from the history books.,2017-06-29,charles
1,trump victory tour,"president-elect donald j. trump held a rally in cincinnati to say thank you to ohio, and revealed his choice for defense secretary.",2016-12-01,no author found
1,"trump, treasonous traitor",the president fails to protect the country from an ongoing attack. ,2018-07-15,charles
1,trump’s nightmare opponents,"amy klobuchar, sherrod brown and how to be a middle-class fighter.",2019-02-11,david leonhardt
1,romney versus trump,why romney’s broadside was the right thing to do.,2016-03-03,ross douthat
1,romney versus trump,why romney’s broadside was the right thing to do.,2016-03-03,ross douthat
1,‘never trump’ becomes ‘maybe trump’ in foreign policy sphere,"foreign policy luminaries who served in the two bush administrations largely derided donald j. trump, and it was mutual. but some of the establishment figures’ opposition is softening.",2016-11-11,mark mazzetti
1,tightwad trump explodes,"donald, just show us the money for veterans.",2016-06-02,gail collins
1,trump’s tariff trap ,the president escalates the trade war with china.,2018-09-23,heng
1,trump takes nashville,"the president was coming to this red state, and my blue town wasn’t happy.",2017-03-16,margaret renkl
1,"donald trump, bureaucracy apprentice","mr. trump is already making big mistakes by underestimating his new employees, federal workers.",2017-01-03,no author found
1,melania trump mimics hillary clinton to defend donald trump,she’s parroting the arguments clinton used decades ago about a “conspiracy” against bill.,2016-10-19,andrew rosenthal
1,trump’s threat to democracy,"he is unique among american presidents in the last century, two harvard professors say.",2018-01-10,nicholas kristof
1,trump’s chumps,"the way to bring around the forgotten men and women is to remind them, every day, that the president has forgotten them.",2017-03-31,timothy egan
1,donald trump’s magical fantasy world,philip roth and tom wolfe presaged today’s political reality.,2018-05-25,david brooks
1,president donald trump,he had an intuition about american anger. the country’s liberal elites were too arrogant to take him seriously.,2016-11-09,roger cohen
1,trump’s boogeymen? women!,trump attacks women and minorities on a personal and policy level.,2017-10-23,charles
1,trump addresses n.r.a.,"donald j. trump spoke at the national rifle association in louisville, ky., in may and said that hillary clinton was unfit for the presidency, and that bernie sanders should run as an independent.",2016-05-20,no author found
1,trump’s ‘deplorable’ deflections,his entire campaign is engaged in an elaborate ruse — accusing his opponent of the very things of which he is guilty.,2016-09-15,charles
1,"donald trump’s sad, lonely life","politics is an effort to make human connection, but trump seems incapable of that.",2016-10-11,david brooks
1,"lights, camera, trump","donald j. trump has turned the campaign news conference, typically a dreary affair, into a spectacle of self-promotion.",2016-05-24,michael barbaro
1,trump vs. congress: now what?,"after the president suffered his first defeat on capitol hill, can the white house still make good on its legislative promises?",2017-03-26,robert draper
1,donald trump’s caldron of conflicts,mr. trump’s business interests will threaten the integrity of the government.,2016-11-26,no author found
1,the leader who was ‘trump before trump’,"under prime minister shinzo abe, japan has taken a decidedly authoritarian turn.",2019-05-29,koichi nakano
1,trump’s united american emirate,"america now has a monarchy in the white house, headed by an emir named donald.",2017-05-31,thomas friedman
1,trump’s united american emirate,"america now has a monarchy in the white house, headed by an emir named donald.",2017-05-31,thomas friedman
1,trump strikes back,"donald trump gives orders for handling syria, mueller and russia.",2018-04-12,patrick chappatte
1,donald trump divides god’s voters,the reality tv star’s presidential campaign shows a split in the evangelical movement.,2016-01-28,sarah posner
1,what is donald trump hiding?,the latest revelations about president trump’s past tax reports underscore the importance of examining his more recent returns.,2019-05-08,no author found
1,a gift for donald trump,what to give the man who has everything.,2017-02-10,david brooks
1,trump’s pivotal russian test,hurtling into a love fest with putin would be calamitous. russia responds to toughness and trump must show it or nato and the e.u. could unravel.,2017-01-13,roger cohen
1,trump gets terrible,"things can get worse, and with him, they always do.",2018-10-25,gail collins
1,take the trump-russia quiz,so much has happened. find out whether you’re up to speed.,2019-01-17,gail collins
1,donald trump’s military preening,"his call on tuesday night for a rebuilt military is about vanity, not safety.",2017-03-01,frank bruni
1,donald trump’s shocking success,there are crucial lessons in the 2016 race’s cruel turn.,2016-11-09,frank bruni
1,donald trump ducks tax disclosure,voters deserve to know what the republican nominee is hiding.,2016-08-01,no author found
1,is trump a white supremacist?,accounting for trump and those who surround him.,2017-09-18,charles
1,donald trump’s parrot,trump’s embrace of putin is a moral abdication so great it has stripped america’s alliances of their foundation.,2017-03-31,roger cohen
1,"dislike comey, despise trump",forgive me if i don’t rise in applause simply because comey’s revelations are agitating trump.,2018-04-15,charles
1,"president trump, melting under criticism","unlike his predecessors, this president can’t seem to take the heat.",2017-07-01,no author found
1,is trump doomed?,don’t confuse other republicans’ cowardice with the president’s strength.,2018-12-13,david leonhardt
1,trump meets merkel,the white house is preparing for a visit by the german chancellor angela merkel.,2017-03-14,patrick chappatte
1,donald trump’s epithets,here’s what mr. trump has in common with homer.,2016-05-16,anna north
1,president trump’s island mentality,"the repeated emphasis on “america first” worries allies, threatens global trade and hurts immigrants.",2017-03-04,no author found
1,"donald trump, establishment sellout",the president’s revolution has already evaporated.,2017-05-20,ross douthat
1,trumpism after trump,"donald trump, the candidate, may or may not last. but the ideas he’s bringing into national circulation are sure to linger.",2015-12-11,anand giridharadas
1,decoding donald trump,what the candidate did — and did not — say after the killings in orlando reveals a lot about him.,2016-06-15,andrew rosenthal
1,"the mystery of trump’s suits, solved","yes, the republican nominee wears brioni — as well as suits by the brooklyn tailor martin greenfield.",2016-09-30,valeriya safronova
1,trump’s masochism,also: a nobel prize worth celebrating.,2017-10-09,david leonhardt
1,trump targets clinton,"republican presidential candidiate donald trump said hillary clinton, ""doesn't have the strength or the stamina to be president."" rough cut (no reporter narration).",2015-12-01,no author found
1,trump’s trainwreck,his and paul ryan’s attempt to end obamacare went embarrassingly off the rails,2017-03-24,frank bruni
1,donald trump’s appeal,what is the underlying psychology of his drive for power and of the outpouring of support for his presidential campaign?,2015-12-02,thomas
1,the trump circus,"the president has latched onto his supporters, and they onto him, in a symbiotic last-ditch shot at survival. ",2018-10-03,charles
1,a memoir by donald trump’s favorite target,"“unbelievable,” by the nbc news correspondent katy tur, describes what it was like to be on the front lines during the trump presidential campaign.",2017-09-12,jill abramson
1,trumpism after trump,how will the republican party remake itself after the great schism of 2016?,2016-03-24,ross douthat
1,silence equals trump,on the fatalistic neutrality of the republican leadership.,2016-03-22,ross douthat
1,5 reasons to vote trump,"with donald trump, we’d have our own kim jong-un.",2016-11-03,nicholas kristof
1,before and after: removing donald j. trump from the trump brand,"over the last week, the trump organization and some of its marketing partners have been removing imagery of mr. trump and ms. trump from their websites.",2017-01-18,karen yourish
1,trump rally in louisville,president trump held a rally at the kentucky exposition center.,2017-03-20,no author found
1,the trump transition,he’s hired.,2016-11-18,patrick chappatte
1,early signs suggest trump’s actions are taking a toll on trump brand,"some major companies appeared to be creating distance between themselves and the trump brand, possibly reacting to the president’s tumultuous first few weeks in office.",2017-02-04,rachel abrams
1,turmoil for turkey’s trump,"incompetence at the top doesn’t really matter, until it does.",2018-05-24,paul krugman
1,"trump, trade and workers",bashing china doesn’t make you labor’s friend.,2016-07-04,paul krugman
1,sermons on trump,"in the days following the election, religious leaders spoke to their congregations and communities about the future with donald j. trump as president of the united states.",2016-11-14,daniel ruetenik
1,the trump afterlife,keeping his movement going after november will be a challenge.,2016-10-19,ross douthat
1,trump is right on economics,jeb bush’s attacks on the g.o.p. front-runner are on issues where the republican voting base and the party’s rich donors diverge.,2015-09-07,paul krugman
1,the criminal investigations that sprouted from mueller,"federal prosecutors are pursuing a number of criminal inquiries that grew out of the investigation led by the special counsel, robert s. mueller iii.",2019-03-31,larry buchanan
1,trump’s shadowy money trail,"questions about his finances, and about whether his campaign helped russia hack the 2016 election, need to be asked in the same breath.",2018-05-09,no author found
1,trump goes rogue,he was always an outsider. but now he’s cut all ties to the establishment.,2017-07-31,matthew continetti
1,trump mocks blasey’s testimony,"president trump lashed out at christine blasey ford, the university professor who accused judge brett m. kavanaugh, mr. trump’s supreme court nominee, of sexual assault.",2018-10-03,no author found
1,trump’s loyalty problem,he’s right: it’s a problem. he’s wrong about why.,2017-07-31,david leonhardt
1,donald trump’s disturbia,on display in cleveland: the dissonant trump worlds of dystopia and diss-topia.,2016-07-23,maureen dowd
1,trump’s king minus touch,"whatever the president says, the fed chairman, jerome powell, is not the problem.",2018-12-25,bill saporito
1,it’s donald trump’s party now,"a trump nomination should be a moment of reckoning for republicans. instead of rejecting what he stands for, they’re falling into line.",2016-05-04,no author found
1,trump’s celebrity shortage,could donald make a deal with a spaceship?,2016-07-15,gail collins
1,president trump’s perversion of leadership,"scapegoats, lies and graft galore. is this any way to set an example?",2018-04-03,frank bruni
1,"‘trump, trump, trump!’ how a president’s name became a racial jeer","president trump’s surname has become a racially charged taunt, or a braying assertion that the country is being taken back from forces that threaten it.",2017-12-16,dan barry
1,president trump’s north korea gamble,"talking is better than bombing, but a summit meeting is not the way to begin.",2018-03-09,nicholas kristof
1,donald trump’s letter,"in response to a times article revealing pages of his 1995 income tax records, mr. trump said, “the only news here is that the more than 20 year-old alleged tax document was illegally obtained.”",2016-10-02,no author found
1,"inside trump tower, an increasingly upset and alone donald trump","shunned by many republicans over his lewd comments about women, mr. trump spent most of friday and saturday at his headquarters as his advisers pondered his next steps.",2016-10-09,maggie haberman
1,trump’s tax records,the new york times obtained records from 1995 showing that donald j. trump declared a $916 million loss. the figure is so substantial that it could have allowed him to legally avoid paying federal income tax for 18 years.,2016-10-02,ainara tiefenthäler
1,donald trump’s taxes,donald trump has continued to decline to release his tax returns despite mounting pressure from both democrats and republicans. a look at some of the explanations for keeping his taxes private.,2016-10-02,shane o'neill
1,trump’s attention economy,"we want to ignore trump, but we can’t look away.",2018-01-04,charles
1,president donald trump? just say no,it is conservatives who have the most to lose from his candidacy.,2015-07-08,peter wehner
1,donald trump’s strange worldview,"in his first formal foreign policy speech, mr. trump says he would tell global allies and foes that it’s his way or the highway.",2016-04-27,no author found
1,pre-trump vs. post-trump: how americans feel now,how has the national mood changed in the 365 days since donald trump was elected president?,2017-11-08,david leonhardt
1,what republicans really think about trump,"bigot, madman, bully, fraud and serial philanderer are just a sampling of the terms used by influential conservatives.",2016-07-21,nicholas kristof
1,donald trump and his work wives,"what does hope hicks do, exactly? vast amounts of emotional labor.",2018-01-20,jill filipovic
1,trump voters are not the enemy,"don’t adopt trump’s trick of “otherizing” people, even trump supporters.",2017-02-23,nicholas kristof
1,podcast: covering trump,"carolyn ryan, politics editor, and maggie haberman and michael barbaro, politics reporters, provide a behind-the-scenes picture of the trump campaign.",2015-12-02,susan lehman
1,trump hits the wall,and what's all that sniffling about?,2019-01-10,gail collins
1,trump at liberty university,"president trump gave a commencement speech at the christian university in lynchburg, va.",2017-05-13,no author found
1,donald trump’s biker force,"chris cox leads bikers for trump, a group that drove into cleveland on motorcycles on monday to patrol the republican national convention and to rally behind the presumptive nominee.",2016-07-19,brent mcdonald
1,trump’s corruption: the definitive list,"the many ways that the president, his family and his aides are lining their own pockets.",2018-10-28,david leonhardt
1,"trump leads the world, backward",our president isn’t a leader but a cheerleader. for the past.,2018-01-26,nicholas kristof
1,paging trump’s wallet,it’s time to make every billion count.,2016-05-14,gail collins
1,trump’s irrational border plan,the president’s decision to send national guard troops to the nation’s southern border is rooted more in xenophobia than in facts.,2018-04-05,no author found
1,trump on taxes,"in 1991, when donald trump was merely a real estate developer, he gave congress some advice about tax reform. it’s worth hearing again.",2017-08-16,alan rappeport
1,trump the transparent,"what you see, or read, is probably what he is thinking.",2017-06-17,michael kinsley
1,questioning donald trump,it was alarming to confront how thinly thought through many of mr. trump’s stances actually are.,2016-11-23,no author found
1,trump on military spending,"the republican presidential candidate donald j. trump outlined his plan to bolster the might of the american military, which he feels needs heavy investment to be rebuilt.",2016-04-27,no author found
1,trump’s amazing fortune,the super tuesday results did nothing — nothing — to clarify who exactly might win the republican nomination.,2016-03-02,ross douthat
1,trump betrays the military,his intervention in decisions about war crimes undermines the moral standing of the armed forces.,2019-11-16,benjamin haas
